full_name,team,games_played,minutes,points,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,personal_fouls,turnovers,salary,points_p36,field_goals_made_p36,field_goals_attempted_p36,free_throws_made_p36,free_throws_attempted_p36,offensive_rebounds_p36,defensive_rebounds_p36,assists_p36,steals_p36,blocks_p36,personal_fouls_p36,turnovers_p36,game_score,value_score
Desmond Bane,Memphis Grizzlies,69,2205.23,1327.0,493.0,1018.0,177.0,198.0,62.0,356.0,369.0,80.0,28.0,164.0,169.0,3845083,21.66304648494715,8.048140103299882,16.61867469606345,2.8894945198460023,3.232315903556545,1.0121393233358877,5.811638695283484,6.023861456628107,1.3059862236592101,0.45709517828072355,2.677271758501381,2.7588958974800812,17.576942087673398,4.571277677926172
Peyton Watson,Denver Nuggets,68,1655.73,551.0,204.0,428.0,95.0,137.0,47.0,186.0,94.0,48.0,93.0,123.0,56.0,2303520,11.980214165353047,4.435505788987335,9.305865086698917,2.0655541664401804,2.978746534761102,1.021905745501984,4.044137631135511,2.043811491003968,1.0436484209381964,2.0220688155677555,2.674349078654128,1.217589824427896,10.40604446377127,4.517453490211186
Tari Eason,Houston Rockets,57,1420.19,686.0,272.0,559.0,79.0,104.0,128.0,234.0,83.0,97.0,50.0,136.0,65.0,3527160,17.389222568811213,6.894852097254593,14.169935008696019,2.0025489547173265,2.63626697836205,3.2446362810609846,5.931600701314613,2.1039438385004825,2.4588259317415275,1.267436047289447,3.4474260486272965,1.6476668614762813,15.8176018701723,4.484514983775134
Cam Whitmore,Houston Rockets,51,826.585,477.0,179.0,403.0,54.0,72.0,36.0,115.0,49.0,31.0,13.0,44.0,46.0,3218160,20.774632977854665,7.795931452905629,17.551733941457925,2.351845242776,3.1357936570346667,1.5678968285173334,5.008559313319259,2.1340817943708146,1.3501333801121482,0.5661849658534814,1.9163183459656294,2.0034237253277034,14.363677056806015,4.463319740723275
Haywood Highsmith,Miami Heat,74,1818.33,478.0,179.0,391.0,31.0,43.0,72.0,180.0,112.0,68.0,37.0,164.0,54.0,1902137,9.463628714259787,3.5439111712395444,7.741169094718781,0.6137499793766809,0.8513306165547508,1.42548382306842,3.56370955767105,2.217419280328653,1.3462902773423966,0.7325402979657158,3.2469353747669567,1.0691128673013148,8.477669069970798,4.456918229323544
John Konchar,Memphis Grizzlies,46,558.223,112.0,41.0,91.0,7.0,8.0,37.0,114.0,42.0,30.0,14.0,32.0,16.0,2400000,7.222919872524064,2.6441045961918443,5.868622396425802,0.451432492032754,0.5159228480374332,2.3861431721731283,7.351900584533422,2.7085949521965236,1.9347106801403742,0.902864984065508,2.0636913921497326,1.0318456960748663,10.628010669571124,4.428337778987968
Jalen Duren,Detroit Pistons,78,2033.55,918.0,378.0,546.0,162.0,242.0,277.0,530.0,209.0,54.0,89.0,251.0,136.0,4330680,16.2513830493472,6.691745961495906,9.66585527771631,2.8678911263553886,4.284133657888914,4.903739765434831,9.382606771409604,3.6999336136313348,0.9559637087851295,1.5755698163310468,4.4434609426864355,2.4076123036069923,18.306705023235228,4.227212590917645
Tyrese Maxey,Philadelphia 76ers,52,1960.19,1369.0,477.0,1091.0,254.0,289.0,15.0,159.0,317.0,91.0,21.0,116.0,124.0,4343920,25.142460679832055,8.760375269744259,20.036833164132048,4.6648539172223105,5.3076487483356205,0.2754834990485616,2.9201250899147535,5.821884613226269,1.6712665608946071,0.38567689866798627,2.130405725975543,2.2773302588014426,18.31965268672935,4.2173089483069095
Jalen Williams,Oklahoma City Thunder,69,2236.67,1490.0,565.0,1168.0,236.0,299.0,59.0,310.0,354.0,111.0,46.0,158.0,150.0,4558680,23.982080503605808,9.093876164118981,18.79937585786012,3.7985040260744762,4.81251145676385,0.9496260065186191,4.989560373233423,5.697756039111715,1.7865845207384192,0.7403863779636692,2.5430662547447764,2.414303406403269,19.077825517398637,4.184945097571806
Olivier-Maxence Prosper,Dallas Mavericks,52,584.07,201.0,70.0,174.0,49.0,76.0,44.0,82.0,40.0,26.0,6.0,28.0,14.0,2733360,12.38892598489907,4.314551338024551,10.724741897375313,3.020185936617186,4.684370024140942,2.712003698186861,5.054188710257332,2.465457907442601,1.6025476398376903,0.3698186861163901,1.7258205352098206,0.8629102676049103,11.390415532384814,4.167184539316012
Immanuel Quickley,Toronto Raptors,33,917.753,564.0,184.0,438.0,111.0,128.0,16.0,101.0,191.0,23.0,4.0,61.0,58.0,4171548,22.1235997049315,7.2176282725308445,17.181093387872334,4.354112707885455,5.020958798282326,0.6276198497852907,3.961850301769648,7.492211956811909,0.9022035340663556,0.15690496244632268,2.392800677306421,2.275121955471679,17.369379342807925,4.163773098813181
Jericho Sims,New York Knicks,53,631.245,98.0,45.0,71.0,8.0,13.0,71.0,126.0,33.0,10.0,19.0,65.0,33.0,1927896,5.588955160040872,2.5663569612432573,4.049140983294917,0.45624123755435686,0.7413920110258299,4.049140983294917,7.18579949148112,1.881995104911722,0.5703015469429461,1.0835729391915976,3.7069600551291497,1.881995104911722,7.93859753344581,4.117751960399217
Caleb Houstan,Orlando Magic,58,787.99,239.0,80.0,190.0,15.0,17.0,19.0,56.0,35.0,22.0,6.0,62.0,13.0,2000000,10.918920290866636,3.6548687166080787,8.680313201944188,0.6852878843640148,0.7766596022792167,0.8680313201944188,2.5584081016256555,1.5990050635160344,1.0050888970672216,0.2741151537456059,2.8325232553712607,0.5939161664488127,8.232591784159695,4.116295892079847
Brandin Podziemski,Golden State Warriors,64,1716.35,747.0,280.0,629.0,72.0,95.0,65.0,260.0,220.0,69.0,13.0,95.0,75.0,3352440,15.668132956564804,5.8729280158475845,13.193113292743321,1.5101814897893788,1.9926005768054302,1.363358289393189,5.453433157572756,4.614443441023102,1.4472572610481547,0.2726716578786378,1.9926005768054302,1.5731057185306028,13.677629854050748,4.079902952491543
Andre Drummond,Chicago Bulls,40,750.633,293.0,117.0,234.0,56.0,90.0,109.0,201.0,34.0,39.0,18.0,94.0,55.0,3360000,14.052139993845193,5.611264093105419,11.222528186210837,2.685733241144474,4.316356994696476,5.227587915799066,9.639863954822129,1.630623753552002,1.870421364368473,0.8632713989392952,4.508195083349653,2.63777371898118,13.514993345616297,4.022319448100088
Julian Strawther,Denver Nuggets,65,1383.47,588.0,210.0,486.0,74.0,90.0,17.0,125.0,83.0,39.0,16.0,151.0,57.0,2431080,15.300657043521,5.464520372686072,12.646461433930623,1.9255928932322348,2.341937302579745,0.4423659349317296,3.2526906980274237,2.1597866234902092,1.0148394977845563,0.41634440934751027,3.9292503632171276,1.483226958300505,9.51607190614903,3.9143392673828212
Blake Wesley,San Antonio Spurs,58,683.107,217.0,81.0,186.0,38.0,61.0,17.0,44.0,114.0,37.0,6.0,46.0,54.0,2504640,11.435982942642955,4.268730960157048,9.802271093693962,2.002614524518121,3.2147233156738255,0.8959064978107383,2.3188168178630875,6.0078435735543625,1.9499141422939599,0.31620229334496647,2.4242175823114094,2.8458206401046984,9.681060214578391,3.865250181494502
Julian Champagnie,San Antonio Spurs,82,1932.13,815.0,276.0,665.0,85.0,94.0,67.0,251.0,111.0,61.0,35.0,114.0,74.0,3000000,15.185313617613721,5.142511114676549,12.390470620506902,1.5837443650271978,1.751434944853607,1.2483632053743794,4.6767039484920785,2.0681838178590466,1.1365694854901067,0.652130032658258,2.124080677801183,1.3787892119060312,11.59114552333435,3.863715174444783
Payton Pritchard,Boston Celtics,80,2270.88,1144.0,409.0,866.0,71.0,84.0,102.0,205.0,279.0,70.0,14.0,118.0,83.0,4037278,18.13570069752695,6.483830057070386,13.7285986049461,1.1255548509828788,1.3316423589093214,1.6169942929613188,3.2498414711477484,4.4229549778059605,1.1097019657577678,0.22194039315155356,1.8706404565630943,1.3157894736842104,15.440710209258084,3.824534800243651
Kris Dunn,Utah Jazz,74,1782.92,474.0,192.0,437.0,15.0,22.0,53.0,198.0,210.0,128.0,27.0,197.0,74.0,2586665,9.570816413523882,3.876786395351446,8.823727368586363,0.3028739371368317,0.44421510780068646,1.070154577883472,3.9979359702061785,4.240235119915644,2.584524263567631,0.5451730868462971,3.9777443743970564,1.4941780898750363,9.685908509635878,3.744554671608375
Jaime Jaquez Jr.,Miami Heat,66,1368.38,570.0,213.0,462.0,107.0,142.0,84.0,206.0,166.0,61.0,14.0,81.0,98.0,3510600,14.995834490419327,5.603706572735643,12.154518481708296,2.8150075271488912,3.735804381823762,2.20991245121969,5.419547201800668,4.367207939315102,1.6048173752904895,0.36831874186994834,2.1309870065332728,2.5782311930896387,13.022698373258885,3.70953636793109
Russell Westbrook,LA Clippers,75,2092.29,994.0,373.0,831.0,154.0,233.0,102.0,268.0,457.0,106.0,37.0,188.0,242.0,3835738,17.102791678017866,6.4178483862179725,14.298209139268458,2.649728288143613,4.009004487905597,1.7550148401990164,4.61121546248369,7.863154725205398,1.82383895157937,0.6366230302682706,3.2347332348766185,4.163858738511392,14.045280529945659,3.661689231627827
Jake LaRavia,Memphis Grizzlies,66,1349.28,458.0,160.0,337.0,78.0,115.0,90.0,169.0,158.0,62.0,23.0,132.0,86.0,3199920,12.219850586979724,4.268943436499467,8.991462113127001,2.08110992529349,3.0683030949839916,2.40128068303095,4.509071504802561,4.215581643543223,1.6542155816435433,0.6136606189967982,3.52187833511206,2.294557097118463,11.603521878335116,3.6261912417607673
Keon Johnson,Brooklyn Nets,79,1925.2,839.0,303.0,779.0,107.0,139.0,63.0,234.0,175.0,82.0,30.0,209.0,116.0,2808720,15.688759609391232,5.665904841055474,14.56679825472678,2.0008310824849365,2.59921047163931,1.178059422397673,4.375649283191357,3.2723872844379804,1.5333471847080822,0.5609806773322252,3.9081653854145024,2.169125285684604,10.140660710575526,3.610420658013446
Nick Smith Jr.,Charlotte Hornets,60,1368.75,591.0,222.0,568.0,43.0,46.0,13.0,115.0,145.0,17.0,6.0,79.0,82.0,2463960,15.544109589041096,5.838904109589041,14.939178082191782,1.130958904109589,1.2098630136986301,0.34191780821917805,3.0246575342465754,3.813698630136986,0.4471232876712329,0.1578082191780822,2.077808219178082,2.156712328767123,8.776767123287671,3.5620574697997007
Tyrese Haliburton,Indiana Pacers,73,2450.39,1359.0,476.0,1006.0,189.0,222.0,42.0,216.0,673.0,105.0,49.0,92.0,120.0,5808435,19.965801362232135,6.993172515395509,14.779688131277062,2.776700851701158,3.2615216353315186,0.6170446337113684,3.1733724019441807,9.887405678279784,1.542611584278421,0.7198854059965965,1.3516215786058545,1.762984667746767,20.271385371308238,3.489990913440236
Dereck Lively II,Dallas Mavericks,36,832.737,314.0,134.0,191.0,46.0,73.0,104.0,166.0,85.0,20.0,56.0,100.0,41.0,4775640,13.574513922162701,5.792945431750961,8.257108787048011,1.9886230586607776,3.1558583322225386,4.496017350015672,7.176335385601937,3.6746295649166547,0.8646187211568598,2.4209324192392074,4.323093605784299,1.772468378371563,16.574740884577007,3.4706847426893583
Keyonte George,Utah Jazz,67,2108.48,1125.0,359.0,919.0,233.0,285.0,26.0,227.0,377.0,46.0,9.0,111.0,183.0,3889800,19.208149946881164,6.129534071938078,15.690924267718925,3.9782212778873878,4.866064653209896,0.4439216876612536,3.875777811504022,6.436864471088177,0.7853999089391409,0.15366519957504932,1.8952041280922751,3.1245257246926696,13.31082106541205,3.421980838452375
Franz Wagner,Orlando Magic,60,2023.31,1449.0,537.0,1161.0,271.0,311.0,56.0,286.0,284.0,75.0,21.0,147.0,138.0,5508720,25.781516426054335,9.554640663071897,20.657239869323043,4.821801898868685,5.533506976192477,0.9963871082533077,5.088691302865108,5.053106048998918,1.3344470199821086,0.3736451655949904,2.615516159164933,2.45538251676708,18.714285008229083,3.3972111503632574
Ben Sheppard,Indiana Pacers,63,1229.56,332.0,120.0,287.0,24.0,27.0,44.0,133.0,85.0,38.0,14.0,125.0,22.0,2537160,9.720550440808093,3.513451966557142,8.403005953349165,0.7026903933114285,0.790526692475357,1.2882657210709523,3.894075929600833,2.488695142977976,1.1125931227430952,0.4099027294316666,3.6598457984970234,0.6441328605354761,8.312241777546438,3.2761992848485857
Jalen Smith,Indiana Pacers,64,962.383,524.0,190.0,408.0,72.0,89.0,89.0,268.0,65.0,17.0,44.0,95.0,37.0,5604192,19.601343747759465,7.107357465790646,15.262114979171495,2.6933144080890874,3.329235865554566,3.329235865554566,10.025114741220492,2.431464396191537,0.6359214574654789,1.6459143604988866,3.553678732895323,1.3840643486013366,17.52898793931314,3.127835009812858
Eric Gordon,Phoenix Suns,39,768.492,266.0,87.0,204.0,36.0,48.0,8.0,38.0,65.0,26.0,12.0,32.0,28.0,3196448,12.460767320935027,4.075514123764464,9.556377945378742,1.6864196374197782,2.248559516559704,0.3747599194266173,1.7801096172764324,3.0449243453412658,1.2179697381365064,0.562139879139926,1.4990396777064692,1.3116597179931606,9.804656391998876,3.067359891979746
Kyle Lowry,Philadelphia 76ers,35,659.448,138.0,41.0,117.0,27.0,33.0,11.0,56.0,96.0,33.0,11.0,62.0,21.0,2795839,7.533573534228628,2.238235615241839,6.387160170324272,1.4739600393056012,1.8015067147068458,0.6005022382356152,3.0571023037449505,5.240746806419915,1.8015067147068458,0.6005022382356152,3.384648979146195,1.1464133639043563,8.554427339229173,3.059699553239358
Simone Fontecchio,Detroit Pistons,75,1236.68,446.0,150.0,373.0,70.0,84.0,52.0,163.0,65.0,31.0,12.0,95.0,54.0,3044872,12.983148429666526,4.366529740919235,10.858103955752497,2.037713879095643,2.445256654914772,1.5137303101853348,4.744962318465569,1.8921628877316685,0.9024161464566419,0.3493223792735388,2.7654688359155153,1.5719507067309246,9.242487951612382,3.0354274175112725
Moses Moody,Golden State Warriors,74,1649.15,724.0,246.0,568.0,106.0,133.0,52.0,137.0,96.0,59.0,31.0,116.0,54.0,3918480,15.804505351241547,5.370039111057211,12.39911469544917,2.3139192917563594,2.903313828335809,1.1351302185974592,2.990631537458691,2.0956250189491556,1.287936209562502,0.6767122457023313,2.532213564563563,1.1787890731589001,11.76606130430828,3.0027105674415284
