full_name,team,games_played,minutes,points,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,personal_fouls,turnovers,salary,points_p36,field_goals_made_p36,field_goals_attempted_p36,free_throws_made_p36,free_throws_attempted_p36,offensive_rebounds_p36,defensive_rebounds_p36,assists_p36,steals_p36,blocks_p36,personal_fouls_p36,turnovers_p36,game_score,value_score
Kyle Anderson,Minnesota Timberwolves,61,1002.09,357.0,142.0,303.0,48.0,65.0,53.0,153.0,145.0,40.0,33.0,81.0,37.0,9219512,12.825195341735771,5.1013382031554055,10.885249827859772,1.7243960123342212,2.3351196000359247,1.9040205969523694,5.496512289315331,5.209112953926294,1.4369966769451845,1.1855222584797773,2.909918270813999,1.3292219261742957,13.403586504206208,1.453828196568995
Malik Monk,Sacramento Kings,65,2054.11,1117.0,412.0,939.0,154.0,178.0,30.0,215.0,362.0,61.0,38.0,158.0,159.0,9945830,19.576361538573885,7.220645437683473,16.456762296079567,2.698979119910813,3.119599242494316,0.5257751532293791,3.7680552648105508,6.3443535156345074,1.0690761448997375,0.6659818607572136,2.7690824736747297,2.7866083121157095,14.357166850850245,1.4435363213377108
Richaun Holmes,Washington Wizards,31,534.135,230.0,90.0,139.0,50.0,60.0,62.0,115.0,42.0,9.0,23.0,49.0,21.0,12046020,15.501699008677582,6.06588222078688,9.368418096548625,3.369934567103822,4.043921480524586,4.178718863208739,7.750849504338791,2.8307450363672104,0.606588222078688,1.550169900867758,3.3025358757617456,1.4153725181836052,17.287764329242606,1.4351432530613932
Coby White,Chicago Bulls,74,2450.26,1509.0,508.0,1121.0,277.0,307.0,25.0,248.0,330.0,69.0,16.0,154.0,177.0,11111111,22.170708414617224,7.463697730036812,16.470088888526114,4.069772187441332,4.510541738427758,0.3673079591553549,3.6436949548211204,4.848465060850685,1.0137699672687794,0.23507709385942713,2.262617028396986,2.6005403508199127,15.867703835511339,1.4280933594769543
Austin Reaves,Los Angeles Lakers,73,2550.09,1475.0,477.0,1037.0,321.0,366.0,61.0,268.0,421.0,81.0,22.0,151.0,177.0,12015150,20.822794489606245,6.733879980706562,14.639483312353681,4.53160476689058,5.166876463183652,0.8611460771972753,3.783395880145406,5.943319647541851,1.1434890533275295,0.3105772737432796,2.131689469783419,2.49873533875275,16.922226274366786,1.4084074085106542
Grayson Allen,Phoenix Suns,64,1543.7,680.0,219.0,489.0,93.0,114.0,34.0,160.0,137.0,54.0,19.0,95.0,75.0,8925000,15.858003498089007,5.1072099501198425,11.40377016259636,2.168815184297467,2.6585476452678627,0.7929001749044503,3.731294940726825,3.194921292997344,1.2593120424953035,0.4430912742113105,2.2154563710565522,1.7490445034656994,12.567467772235537,1.4081196383457182
Jett Howard,Orlando Magic,60,701.107,267.0,98.0,262.0,16.0,23.0,20.0,50.0,44.0,13.0,11.0,68.0,36.0,5026800,13.709747584890753,5.032042184716456,13.45301073873175,0.8215579077088091,1.1809894923314133,1.0269473846360113,2.5673684615900285,2.259284246199225,0.6675158000134074,0.5648210615498063,3.491621107762439,1.8485052923448204,7.049993795526217,1.4024814584877492
Bobby Portis,Milwaukee Bucks,49,1243.68,680.0,277.0,595.0,61.0,73.0,90.0,321.0,104.0,35.0,26.0,94.0,57.0,11710818,19.68351987649556,8.018139714395986,17.223079891933615,1.76572751833269,2.1130837514473177,2.6051717483597066,9.291779235816287,3.010420686993439,1.0131223465843302,0.7526051717483597,2.7209571593979156,1.6499421072944809,16.215746815901195,1.3846809689896296
Trey Lyles,Sacramento Kings,69,1349.52,451.0,157.0,374.0,56.0,80.0,80.0,236.0,82.0,41.0,23.0,86.0,39.0,8000000,12.030944335763827,4.18815578872488,9.976880668682199,1.4938644851502756,2.134092121643251,2.134092121643251,6.29557175884759,2.1874444246843323,1.0937222123421662,0.6135514849724346,2.294149030766495,1.040369909301085,10.945224968877822,1.3681531211097278
Cody Martin,Charlotte Hornets,53,1173.21,358.0,136.0,325.0,43.0,61.0,53.0,171.0,105.0,56.0,32.0,95.0,51.0,7560000,10.985245608203133,4.173165929373258,9.972639169458153,1.3194568747283095,1.8717876594982996,1.6263073107116373,5.247142455314905,3.2219295778249415,1.7183624415066356,0.9819213951466489,2.9150791418416135,1.5649372235149719,10.095379343851482,1.335367638075593
Brandon Miller,Charlotte Hornets,27,923.565,568.0,198.0,491.0,68.0,79.0,25.0,106.0,98.0,29.0,20.0,74.0,76.0,10880400,22.140293319907098,7.717919150249306,19.138880317032367,2.650598496045216,3.079371782170177,0.9744847411930941,4.131815302658719,3.8199801854769286,1.130402299783989,0.7795877929544752,2.8844748339315585,2.962433613227006,13.814295691153305,1.26964961684803
Caleb Martin,Miami Heat,45,1218.02,356.0,129.0,304.0,61.0,98.0,53.0,124.0,95.0,46.0,23.0,87.0,56.0,6802950,10.521994712730496,3.8127452751186355,8.985074136713683,1.8029260603274166,2.896504162493227,1.5664767409402145,3.6649644505016337,2.8078356677230256,1.3595835864764125,0.6797917932382063,2.5713863483358237,1.6551452357104153,8.633355774125217,1.2690605949073883
Keegan Murray,Sacramento Kings,76,2610.17,942.0,364.0,820.0,60.0,72.0,146.0,361.0,109.0,61.0,69.0,186.0,60.0,8409000,12.992257209300544,5.02036265837091,11.309608186439963,0.8275323063248754,0.9930387675898504,2.0136619453905302,4.978986043054667,1.5033503564901902,0.8413245114302899,0.9516621522736067,2.565350149607114,0.8275323063248754,10.626894033721943,1.2637524121443622
Talen Horton-Tucker,Utah Jazz,58,723.695,379.0,133.0,291.0,72.0,98.0,19.0,81.0,83.0,21.0,11.0,59.0,40.0,11020000,18.853246187965922,6.616046815302027,14.475711453029245,3.5816193285845555,4.874981863906756,0.9451495450431465,4.029321744657625,4.12881117045164,1.044638970837162,0.5471918418670848,2.934938060923455,1.9897885158803086,13.873800426975452,1.258965555986883
Monte Morris,Minnesota Timberwolves,45,570.77,233.0,83.0,195.0,36.0,42.0,12.0,55.0,73.0,20.0,3.0,23.0,21.0,9800926,14.69593706747026,5.235033375965801,12.299174798955798,2.27061688596107,2.6490530336212483,0.7568722953203568,3.4689980202183017,4.604306463198837,1.261453825533928,0.1892180738300892,1.450671899364017,1.3245265168106242,12.311789337211138,1.2561863376186226
Brandon Clarke,Memphis Grizzlies,64,1206.86,534.0,236.0,380.0,61.0,87.0,127.0,199.0,66.0,52.0,36.0,145.0,41.0,12500000,15.9289395621696,7.039756061183568,11.335200437498965,1.8195979649669392,2.5951643106905524,3.7883433041114962,5.936065492269195,1.968745339144557,1.5511326914472268,1.0738610940788493,4.3252738511509214,1.2230084682564673,15.66047428864989,1.2528379430919911
Scoot Henderson,Portland Trail Blazers,66,1759.07,837.0,287.0,685.0,158.0,206.0,52.0,146.0,335.0,68.0,13.0,181.0,177.0,9770880,17.129505932111854,5.873558186996538,14.018771282552713,3.233526806778582,4.215864064534101,1.0641986959018117,2.987942492339702,6.855895444752057,1.3916444484869848,0.2660496739754529,3.704230076119768,3.6223686379734747,12.1871216040294,1.2472900704981946
Georges Niang,Cleveland Cavaliers,79,1697.23,784.0,286.0,620.0,46.0,58.0,47.0,225.0,111.0,28.0,14.0,201.0,82.0,8800000,16.629449161280437,6.066355178732405,13.150839897951368,0.9757074762996176,1.230239861421257,0.9969185083930875,4.772482221030738,2.354424562375164,0.5939088986171586,0.2969544493085793,4.263417450787459,1.7393046316645357,10.88338056715943,1.2367477917226624
Jabari Smith Jr.,Houston Rockets,57,1715.58,698.0,248.0,566.0,104.0,126.0,105.0,294.0,60.0,25.0,41.0,123.0,61.0,9326520,14.646941559122862,5.20407092645053,11.877032840205645,2.1823523239953837,2.6440037771482534,2.2033364809568776,6.1693421466792575,1.2590494176896445,0.5246039240373518,0.860350435421257,2.581051306263771,1.2800335746511387,11.318854265029902,1.2136203283786344
Jonas Valančiūnas,New Orleans Pelicans,81,1523.76,843.0,345.0,627.0,145.0,165.0,190.0,437.0,164.0,37.0,46.0,181.0,120.0,15435000,19.916522286974327,8.150889903921877,14.813356434084108,3.425736336430934,3.898251693180028,4.488895889116396,10.32446054496771,3.8746259253425737,0.8741534099858246,1.086785320522917,4.276263978579304,2.835092140494566,18.659631438021734,1.2089168408177347
Royce O'Neale,Phoenix Suns,75,1836.87,680.0,241.0,570.0,19.0,26.0,53.0,296.0,163.0,67.0,33.0,151.0,65.0,9500000,13.327018242989435,4.723252053765372,11.171177056623497,0.3723725685541165,0.5095624622319489,1.0387234807035883,5.801172646948341,3.1945646670695265,1.313103268059253,0.6467523559097814,2.959381992193242,1.2739061555798723,11.353443629652617,1.1950993294371175
Donte DiVincenzo,New York Knicks,62,1605.73,723.0,250.0,593.0,49.0,63.0,32.0,196.0,225.0,73.0,17.0,114.0,99.0,10960000,16.209449907518696,5.604927353913796,13.294887683483525,1.098565761367104,1.4124416931862764,0.717430701300966,4.394263045468416,5.044434618522417,1.6366387873428283,0.3811350600661381,2.555846873384691,2.2195512321498634,13.032577083320355,1.1891037484781344
Taurean Prince,Los Angeles Lakers,80,2165.86,656.0,235.0,514.0,39.0,48.0,34.0,253.0,155.0,76.0,15.0,165.0,82.0,7455000,10.903751858384199,3.9060696443906804,8.543488498794936,0.6482413452393044,0.7978355018329901,0.5651334804650346,4.205257957578052,2.5763438080023637,1.263239544568901,0.24932359432280943,2.7425595375509033,1.3629689822980249,8.864284856823618,1.1890388808616523
Pat Connaughton,Milwaukee Bucks,41,602.827,216.0,83.0,177.0,24.0,31.0,19.0,90.0,70.0,9.0,11.0,45.0,24.0,9423869,12.899223160210143,4.95664593656223,10.570196756283313,1.433247017801127,1.8512773979931223,1.134653889092559,5.374676316754226,4.180303801919954,0.5374676316754227,0.6569048831588499,2.687338158377113,1.433247017801127,11.13752370082959,1.1818419484427882
Al Horford,Boston Celtics,60,1658.57,538.0,195.0,461.0,34.0,38.0,79.0,290.0,128.0,36.0,51.0,81.0,46.0,10000000,11.677529438009852,4.23256178515227,10.006210169001006,0.7379851317701394,0.8248069119783911,1.7147301591129709,6.294579065098247,2.778296966664054,0.7813960218742653,1.106977697655209,1.7581410492170966,0.9984504723948945,11.219544547411326,1.1219544547411326
Kelly Olynyk,Toronto Raptors,44,890.998,384.0,134.0,268.0,83.0,108.0,62.0,144.0,128.0,33.0,19.0,123.0,76.0,12195122,15.515186341607949,5.414153567123607,10.828307134247215,3.3535428811288015,4.363646158577236,2.505056128072117,5.8181948781029815,5.171728780535983,1.333336326231933,0.76767849086081,4.969708125046297,3.07071396344324,13.628313419334276,1.1175216959153238
Naz Reid,Minnesota Timberwolves,80,2200.12,1138.0,426.0,923.0,111.0,143.0,92.0,388.0,181.0,58.0,72.0,189.0,108.0,12950400,18.620802501681727,6.970528880242896,15.102812573859609,1.8162645673872335,2.3398723705979676,1.5053724342308603,6.348744613930149,2.961656636910714,0.9490391433194554,1.1781175572241513,3.0925585877133974,1.7671763358362274,14.42866752722579,1.1141484067847935
Josh Hart,New York Knicks,77,2896.83,1051.0,404.0,770.0,159.0,205.0,161.0,576.0,453.0,119.0,27.0,201.0,158.0,12960000,13.061173765806071,5.020660515114798,9.569080684748501,1.9759530245130024,2.5476123900953804,2.000807779538323,7.158169447292385,5.629602013235157,1.4788579240065867,0.3355391928418306,2.4979028800447387,1.9635256470003417,14.38220399540187,1.109737962608169
Alec Burks,New York Knicks,49,863.497,356.0,115.0,271.0,38.0,49.0,15.0,109.0,55.0,28.0,7.0,37.0,29.0,10489600,14.841973973273792,4.794457884624961,11.29824423246404,1.584255648832596,2.0428559682315055,0.6253640719076036,4.54431225586192,2.2930015969945465,1.1673462675608601,0.29183656689021503,1.5425647107054226,1.2090372056880336,11.619264456043274,1.1076937591560474
Steven Adams,Houston Rockets,58,794.067,225.0,91.0,167.0,43.0,93.0,166.0,161.0,66.0,22.0,28.0,60.0,54.0,12600000,10.200650574825548,4.125596454707223,7.571149537759408,1.949457665411105,4.216268904261227,7.525813312982406,7.299132189097394,2.992190835282161,0.9973969450940539,1.2694142937560686,2.720173486620147,2.448156137958132,13.546463963368325,1.0751161875689148
Isaac Okoro,Cleveland Cavaliers,55,1053.2,337.0,124.0,267.0,33.0,46.0,49.0,81.0,68.0,32.0,16.0,104.0,23.0,8920795,11.519179642992784,4.238511203949867,9.12647170527915,1.1279908849221418,1.5723509304975314,1.6748955563995442,2.7687048993543484,2.324344853778959,1.0938093429548044,0.5469046714774022,3.554880364603114,0.7861754652487657,9.546904671477403,1.0701854118918104
Terance Mann,LA Clippers,67,1414.25,517.0,205.0,413.0,47.0,68.0,68.0,131.0,121.0,47.0,15.0,128.0,47.0,10576923,13.160332331624536,5.218313593777621,10.51299275234223,1.1963938483295034,1.7309528018384301,1.7309528018384301,3.334629662365211,3.0800777797419125,1.1963938483295034,0.38182782393494785,3.258264097578222,1.1963938483295034,11.006823404631433,1.0406451294607546
Nikola Vučević,Chicago Bulls,73,2278.25,1349.0,550.0,1038.0,120.0,149.0,178.0,557.0,256.0,61.0,52.0,163.0,119.0,18518519,21.316361242181497,8.690881158784155,16.402062986941733,1.8961922528256339,2.3544387139251617,2.81268517502469,8.801492373532316,4.045210139361352,0.9638977285196971,0.8216833095577747,2.5756611434214856,1.8803906507187536,19.197366399648853,1.0366577586279362
Dennis Schröder,Brooklyn Nets,75,2104.78,980.0,336.0,827.0,181.0,216.0,27.0,171.0,404.0,66.0,12.0,180.0,142.0,12405000,16.761846843850662,5.746918917891655,14.144946265167855,3.0958104885071123,3.694447875787493,0.4618059844734366,2.9247712349984316,6.909985841750681,1.1288590731572894,0.20524710421041628,3.0787065631562442,2.428757399823259,12.569674740352912,1.0132748682267563
Jarrett Allen,Cleveland Cavaliers,82,2296.05,1103.0,452.0,640.0,199.0,277.0,216.0,582.0,158.0,77.0,73.0,127.0,97.0,20000000,17.294048474554124,7.08695368132227,10.034624681518258,3.120141111909583,4.343110994969622,3.3866858300124125,9.125236819755667,2.47729796824982,1.2072907819951655,1.1445743777356763,1.9912458352387794,1.520872803292611,19.148886130528517,0.9574443065264259
Tyus Jones,Washington Wizards,81,2173.52,829.0,306.0,683.0,51.0,57.0,40.0,156.0,429.0,69.0,8.0,63.0,91.0,14000000,13.730722514630644,5.068276344363061,11.312525304575066,0.8447127240605102,0.9440906915970407,0.6625197835768707,2.583827155949796,7.105524678861938,1.1428466266701018,0.13250395671537413,1.0434686591335713,1.5072325076373807,13.32327284773087,0.9516623462664907
Collin Sexton,Utah Jazz,63,1757.76,1159.0,416.0,867.0,217.0,251.0,60.0,111.0,264.0,47.0,6.0,144.0,160.0,17325000,23.737028945931186,8.519934462042599,17.756690333151283,4.4442927362097215,5.140633533588203,1.2288367012561443,2.273347897323867,5.406881485527034,0.962588749317313,0.12288367012561442,2.9492080830147462,3.276897870016384,16.355816493719278,0.9440586720761488
Caris LeVert,Cleveland Cavaliers,64,1596.11,776.0,280.0,599.0,110.0,155.0,41.0,162.0,215.0,57.0,33.0,99.0,76.0,15384616,17.502553082181052,6.31535420491069,13.510347031219654,2.4810320090720563,3.495999649146989,0.9247482942904938,3.6538835042697557,4.849289835913565,1.2856256774282477,0.744309602721617,2.232928808164851,1.71416756990433,14.502759834848476,0.9426793515579769
Vasilije Micic,Charlotte Hornets,41,784.908,269.0,95.0,273.0,34.0,41.0,20.0,69.0,128.0,15.0,0.0,45.0,77.0,7723000,12.337751685547861,4.3571985506581665,12.521212677154521,1.5594184286566068,1.8804751639682613,0.9173049580332981,3.1647021052148787,5.870751731413108,0.6879787185249736,0.0,2.063936155574921,3.531624088428198,7.219190019722055,0.9347649902527587
Patrick Williams,Chicago Bulls,63,1576.33,566.0,205.0,516.0,60.0,83.0,43.0,194.0,124.0,48.0,32.0,88.0,86.0,9835881,12.926227376247361,4.681760798817507,11.784334498486992,1.370271453312441,1.89554217708221,0.982027874873916,4.430544365710226,2.831894336845711,1.0962171626499528,0.7308114417666353,2.009731464858247,1.964055749747832,9.178534951437836,0.9331685643042891
Kevin Porter Jr.,Milwaukee Bucks,75,1482.02,771.0,293.0,652.0,130.0,169.0,42.0,236.0,256.0,81.0,13.0,119.0,136.0,15860000,18.72849219308781,7.117312856776562,15.837842944089823,3.157852120754106,4.105207756980338,1.0202291467051727,5.732716157676685,6.218539560869624,1.9675847829314046,0.3157852120754106,2.890649248997989,3.3035991417119877,14.625713553123436,0.9221761382801662
Jakob Poeltl,Toronto Raptors,57,1685.75,824.0,363.0,579.0,97.0,144.0,189.0,358.0,158.0,66.0,71.0,176.0,111.0,19500000,17.596915319590686,7.7520391517128875,12.364822779178407,2.071481536408127,3.0751890849770134,4.03618567403233,7.645261752928963,3.374165801572001,1.4094616639477975,1.516239062731722,3.7585644371941274,2.370458253003114,17.718641554204364,0.908648284830993
Norman Powell,LA Clippers,60,1957.99,1306.0,457.0,945.0,213.0,265.0,21.0,169.0,125.0,73.0,9.0,114.0,108.0,18000000,24.01238004279899,8.402494394761975,17.374961057002334,3.916261063641796,4.872343576831343,0.386110245711163,3.1072681678660254,2.298275272090256,1.3421927589007094,0.16547581959049842,2.0960270481463135,1.985709835085981,16.273627546616684,0.9040904192564825
Wendell Carter Jr.,Orlando Magic,68,1758.27,618.0,226.0,491.0,129.0,175.0,151.0,341.0,134.0,52.0,41.0,199.0,77.0,13050000,12.653346755617738,4.627275674384481,10.053063522667166,2.641232575201761,3.583067446979133,3.0916753399648518,6.98186285382791,2.743605930829736,1.0646828985309424,0.8394615161493969,4.074459553993414,1.5765496766708185,11.715606818065487,0.897747648893907
Lauri Markkanen,Utah Jazz,47,1475.84,892.0,296.0,700.0,162.0,185.0,72.0,206.0,70.0,33.0,17.0,79.0,66.0,17259999,21.758456201214223,7.220294882914137,17.07502168256722,3.951647875108413,4.512684301821336,1.756287944492628,5.024934952298352,1.7075021682567217,0.8049653078924545,0.41467909800520386,1.9270381613183,1.609930615784909,15.116272766695571,0.8757980094144601
Landry Shamet,Washington Wizards,50,761.6,286.0,106.0,230.0,12.0,18.0,11.0,50.0,27.0,23.0,2.0,52.0,22.0,10250000,13.51890756302521,5.010504201680672,10.871848739495798,0.5672268907563025,0.8508403361344538,0.5199579831932772,2.3634453781512605,1.2762605042016806,1.0871848739495797,0.09453781512605042,2.4579831932773106,1.0399159663865545,8.896008403361343,0.8679032588645212
Shai Gilgeous-Alexander,Oklahoma City Thunder,76,2597.63,2484.0,860.0,1656.0,601.0,669.0,67.0,312.0,486.0,131.0,77.0,164.0,183.0,33386850,34.425226071457445,11.918556530375765,22.95015071430496,8.329130784599808,9.271528277699286,0.9285387064362515,4.323941438927021,6.735370318328631,1.8155010528828202,1.0671265730685278,2.272841012769332,2.5361579593706574,28.52969822492041,0.8545190164666749
Luke Kennard,Memphis Grizzlies,65,1471.69,576.0,206.0,431.0,51.0,57.0,37.0,146.0,215.0,50.0,5.0,59.0,72.0,15418363,14.089923829067263,5.039104702756695,10.542981198486093,1.2475453390319973,1.3943153789181144,0.9050819126310568,3.571404303895521,5.259259762585871,1.2230836657176443,0.12230836657176444,1.4432387255468202,1.761240478633408,13.023394872561479,0.8446678076370027
Dejounte Murray,Atlanta Hawks,31,1012.15,542.0,194.0,494.0,102.0,124.0,17.0,183.0,228.0,63.0,12.0,61.0,106.0,18214000,19.27777503334486,6.900163019315319,17.570518203823546,3.6279207627327965,4.4104134762633995,0.6046534604554662,6.508916662550017,8.109469940226251,2.2407745887467274,0.426814207380329,2.1696388875166726,3.7701921651929067,15.379538605937853,0.8443800706016171
Jusuf Nurkić,Phoenix Suns,51,1062.83,453.0,168.0,352.0,85.0,128.0,85.0,313.0,115.0,40.0,34.0,130.0,97.0,16875000,15.343940235032886,5.69046790173405,11.922885127442772,2.8791057836154423,4.3355945917973715,2.8791057836154423,10.601883650254509,3.8952607660679512,1.3548733099366785,1.1516423134461768,4.403338257294205,3.2855677765964453,13.728253812933396,0.8135261518775345
Harrison Barnes,Sacramento Kings,82,2230.06,1011.0,347.0,683.0,161.0,199.0,97.0,213.0,136.0,39.0,14.0,75.0,50.0,17000000,16.32063711290279,5.601643005120939,11.025712312673203,2.5990332098687925,3.2124696196514892,1.5658771512874092,3.438472507466167,2.19545662448544,0.6295794731980305,0.22600288781467764,1.2107297561500587,0.8071531707667059,13.758732948889264,0.8093372322876038
Derrick White,Boston Celtics,76,2573.61,1248.0,424.0,959.0,135.0,161.0,67.0,274.0,361.0,72.0,80.0,138.0,131.0,18357143,17.457190483406578,5.930968561670182,13.41461993075874,1.888398009022346,2.2520894774266496,0.9372049378110903,3.832748551645354,5.0497161574597556,1.0071456048119178,1.119050672013242,1.9303624092228424,1.832445475421684,14.820427337475374,0.8073384478987484
Max Strus,Cleveland Cavaliers,50,1272.72,471.0,165.0,373.0,28.0,34.0,53.0,164.0,158.0,26.0,12.0,104.0,54.0,14487684,13.322647557986047,4.6671695266830096,10.55063171789553,0.7920045257401471,0.9617197812558929,1.4991514237224213,4.638883650763719,4.469168395247973,0.7354327739015651,0.3394305110314916,2.9417310956062606,1.527437299641712,11.574580426173863,0.7989255167474569
Herbert Jones,New Orleans Pelicans,20,648.132,205.0,75.0,172.0,33.0,40.0,22.0,56.0,65.0,37.0,9.0,66.0,35.0,12015150,11.386569402529116,4.165818074096018,9.553609449926867,1.8329599526022478,2.221769639517876,1.2219733017348318,3.1104774953250267,3.6103756642165488,2.0551369165540354,0.49989816889152217,3.6659199052044955,1.9440484345781417,9.520282905334101,0.7923565586225807
D'Angelo Russell,Los Angeles Lakers,58,1480.42,732.0,249.0,638.0,121.0,145.0,20.0,142.0,297.0,56.0,23.0,115.0,108.0,17307693,17.800353953607758,6.055038435038705,15.514516150822065,2.942408235500736,3.526026397914105,0.4863484686778076,3.4530741276124344,7.222274759865443,1.3617757122978613,0.5593007389794787,2.796503694897394,2.6262817308601614,13.569122276110836,0.783993700148878
Jonathan Isaac,Orlando Magic,71,1090.02,380.0,134.0,324.0,73.0,107.0,120.0,194.0,40.0,61.0,80.0,90.0,33.0,17400000,12.550228436175484,4.425606869598723,10.700721087686466,2.410964936423185,3.5338801122915178,3.963230032476468,6.407221885836957,1.3210766774921563,2.014641933175538,2.6421533549843126,2.972422524357351,1.0898882589310288,13.587273628006827,0.7808777947130361
De'Andre Hunter,Atlanta Hawks,64,1740.02,1088.0,358.0,762.0,215.0,254.0,44.0,214.0,92.0,50.0,13.0,155.0,82.0,20089286,22.51008609096447,7.406811415960736,15.765336030620338,4.448224733049046,5.255112010206779,0.9103343639728279,4.427535315686026,1.903426397397731,1.034470868150941,0.2689624257192446,3.206859691267917,1.6965322237675429,15.65568211859634,0.7793050543755681
Clint Capela,Atlanta Hawks,55,1176.43,488.0,218.0,390.0,52.0,97.0,174.0,295.0,62.0,34.0,53.0,106.0,47.0,20616000,14.933315199374379,6.671030150540194,11.934411737204933,1.5912548982939911,2.968302406433022,5.324583698137586,9.027311442244757,1.8972654556582202,1.0404358950383787,1.621855954030414,3.243711908060828,1.4382496196118766,15.900308560645342,0.7712606015058858
Jalen Brunson,New York Knicks,65,2300.71,1690.0,585.0,1200.0,368.0,448.0,27.0,160.0,475.0,60.0,8.0,138.0,164.0,26346666,26.444010761895242,9.153696032963737,18.77681237531023,5.758222461761804,7.010009953449153,0.4224782784444802,2.5035749833746976,7.4324882318936325,0.9388406187655115,0.12517874916873487,2.1593334231606764,2.566164357959065,20.307122583898018,0.7707663119082323
Rui Hachimura,Los Angeles Lakers,59,1868.82,775.0,293.0,576.0,87.0,113.0,79.0,216.0,83.0,45.0,26.0,105.0,49.0,15740741,14.929206665168396,5.644203294057213,11.095771663402575,1.6759238449930973,2.176774649243908,1.521815905223617,4.160914373775966,1.5988698751083572,0.8668571612033261,0.5008508042508106,2.0226667094744277,0.9439111310880662,12.11673676437538,0.7697691464700029
P.J. Washington,Dallas Mavericks,57,1834.86,836.0,301.0,665.0,143.0,198.0,82.0,360.0,131.0,63.0,60.0,131.0,118.0,16847826,16.40234132304372,5.905627677315981,13.04731696151205,2.8056636473627417,3.884765050194565,1.608842091494719,7.063209182171938,2.570223341290344,1.236061606880089,1.1772015303619896,2.570223341290344,2.315163009711913,12.960988849285505,0.7692974066378359
Zion Williamson,New Orleans Pelicans,30,857.277,737.0,288.0,508.0,158.0,241.0,76.0,140.0,159.0,37.0,27.0,82.0,90.0,34005250,30.949156457014475,12.094107272211899,21.332661438484877,6.634961628505138,10.120416154871762,3.1915005301670285,5.879079923991895,6.676955056533652,1.5537568370550008,1.1338225567698654,3.4434610983381098,3.779408522566218,25.32203710119366,0.7446508142476136
OG Anunoby,New York Knicks,74,2705.78,1332.0,489.0,1027.0,183.0,226.0,97.0,261.0,164.0,110.0,65.0,172.0,102.0,18642857,17.722061660593248,6.506072186208783,13.664082076148098,2.4347877506670903,3.006896347818374,1.2905705563645233,3.4725661361973255,2.1819955798328023,1.4635336206195624,0.8648153212751961,2.2884343886051344,1.3570948118472306,13.799791557332819,0.740218709896923
Keldon Johnson,San Antonio Spurs,77,1838.0,979.0,371.0,770.0,150.0,194.0,112.0,259.0,125.0,49.0,22.0,115.0,77.0,20000000,19.17519042437432,7.266594124047878,15.081610446137105,2.9379760609358,3.7997823721436346,2.193688792165397,5.072905331882481,2.4483133841131663,0.9597388465723612,0.4309031556039173,2.252448313384113,1.5081610446137104,14.803482045701848,0.7401741022850924
Nicolas Batum,Philadelphia 76ers,78,1367.37,313.0,104.0,238.0,17.0,21.0,47.0,171.0,84.0,52.0,36.0,111.0,34.0,11710818,8.240637135522938,2.7381030737839795,6.266043572697954,0.4475745409069967,0.5528861975909959,1.2374119660369907,4.502073323240967,2.2115447903639835,1.3690515368919898,0.947804910155993,2.922398472980978,0.8951490818139934,8.640821430922134,0.7378495192156632
Aaron Gordon,Denver Nuggets,51,1446.72,748.0,264.0,497.0,145.0,179.0,80.0,167.0,164.0,23.0,14.0,82.0,73.0,22266182,18.613138686131386,6.569343065693431,12.367285998672859,3.608161911081619,4.454213669542137,1.9907100199071002,4.155607166556072,4.080955540809555,0.5723291307232914,0.3483742534837425,2.0404777704047774,1.8165228931652289,15.925680159256803,0.7152407251165378
Myles Turner,Indiana Pacers,72,2173.64,1120.0,390.0,811.0,184.0,238.0,90.0,381.0,111.0,54.0,144.0,183.0,123.0,20975000,18.549529820945512,6.459211276936384,13.431847039988224,3.0474227562981913,3.9417750869509214,1.49058721775455,6.310152555160929,1.8383909018972784,0.8943523306527301,2.38493954840728,3.0308606761009185,2.0371358642645516,14.910840801604682,0.7108863314233459
Jaren Jackson Jr.,Memphis Grizzlies,74,2206.95,1641.0,592.0,1213.0,311.0,398.0,91.0,326.0,148.0,92.0,113.0,257.0,153.0,27102202,26.76816420852308,9.656766125195407,19.786583293685858,5.07306463671583,6.492217766600966,1.4844015496499694,5.317746210833956,2.414191531298852,1.500713654591178,1.8432678583565554,4.192210969890573,2.495752056004894,19.155304832461095,0.7067803875294375
RJ Barrett,Toronto Raptors,58,1868.8,1223.0,460.0,982.0,196.0,311.0,61.0,305.0,314.0,46.0,17.0,137.0,166.0,23883929,23.559503424657535,8.861301369863014,18.91695205479452,3.7756849315068495,5.991010273972603,1.1750856164383563,5.875428082191781,6.048801369863014,0.8861301369863014,0.3274828767123288,2.639126712328767,3.19777397260274,16.65732020547945,0.6974279736587499
Malcolm Brogdon,Portland Trail Blazers,24,564.077,305.0,104.0,240.0,81.0,92.0,21.0,70.0,98.0,13.0,5.0,30.0,38.0,22500000,19.46542759233225,6.637391703614932,15.31705777757292,5.16950699993086,5.871538814736287,1.3402425555376305,4.467475185125435,6.254465259175609,0.8296739629518665,0.3191053703661025,1.914632222196615,2.425200814782379,15.636163147939023,0.6949405843528454
